t-5, t-4,t-3,t-2,t-1,t,T+1
2203,1703,1617,1600,1422,1547,1949
1703,1617,1600,1422,1547,1949,2035
1617,1600,1422,1547,1949,2035,899
1600,1422,1547,1949,2035,899,1383
1422,1547,1949,2035,899,1383,1846
1547,1949,2035,899,1383,1846,1127
1949,2035,899,1383,1846,1127,2285
2035,899,1383,1846,1127,2285,908
899,1383,1846,1127,2285,908,1862
1383,1846,1127,2285,908,1862,1475
