t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t,T+1
2172,3075,2282,2647,2786,2395,2735,1990,2534,2263
3075,2282,2647,2786,2395,2735,1990,2534,2263,2685
2282,2647,2786,2395,2735,1990,2534,2263,2685,2934
2647,2786,2395,2735,1990,2534,2263,2685,2934,2591
2786,2395,2735,1990,2534,2263,2685,2934,2591,2185
2395,2735,1990,2534,2263,2685,2934,2591,2185,2135
2735,1990,2534,2263,2685,2934,2591,2185,2135,2370
1990,2534,2263,2685,2934,2591,2185,2135,2370,2762
2534,2263,2685,2934,2591,2185,2135,2370,2762,2311
2263,2685,2934,2591,2185,2135,2370,2762,2311,2836
2685,2934,2591,2185,2135,2370,2762,2311,2836,2431
2934,2591,2185,2135,2370,2762,2311,2836,2431,2724
2591,2185,2135,2370,2762,2311,2836,2431,2724,1894
2185,2135,2370,2762,2311,2836,2431,2724,1894,2706
2135,2370,2762,2311,2836,2431,2724,1894,2706,2439
2370,2762,2311,2836,2431,2724,1894,2706,2439,2737
2762,2311,2836,2431,2724,1894,2706,2439,2737,2541
2311,2836,2431,2724,1894,2706,2439,2737,2541,2441
2836,2431,2724,1894,2706,2439,2737,2541,2441,2027
2431,2724,1894,2706,2439,2737,2541,2441,2027,2169
2724,1894,2706,2439,2737,2541,2441,2027,2169,1899
1894,2706,2439,2737,2541,2441,2027,2169,1899,2278
2706,2439,2737,2541,2441,2027,2169,1899,2278,2272
2439,2737,2541,2441,2027,2169,1899,2278,2272,2425
2737,2541,2441,2027,2169,1899,2278,2272,2425,1879
2541,2441,2027,2169,1899,2278,2272,2425,1879,2900
2441,2027,2169,1899,2278,2272,2425,1879,2900,2577
2027,2169,1899,2278,2272,2425,1879,2900,2577,2629
2169,1899,2278,2272,2425,1879,2900,2577,2629,1952
1899,2278,2272,2425,1879,2900,2577,2629,1952,2571
2278,2272,2425,1879,2900,2577,2629,1952,2571,2809
2272,2425,1879,2900,2577,2629,1952,2571,2809,2576
2425,1879,2900,2577,2629,1952,2571,2809,2576,2467
1879,2900,2577,2629,1952,2571,2809,2576,2467,2190
2900,2577,2629,1952,2571,2809,2576,2467,2190,1855
