t-5,t-4,t-3,t-2,t-1,t,T+1
1210,2142,2156,1657,2433,2082,1629
2142,2156,1657,2433,2082,1629,2021
2156,1657,2433,2082,1629,2021,1427
1657,2433,2082,1629,2021,1427,1384
2433,2082,1629,2021,1427,1384,1689
2082,1629,2021,1427,1384,1689,1348
1629,2021,1427,1384,1689,1348,1709
2021,1427,1384,1689,1348,1709,2073
1427,1384,1689,1348,1709,2073,1593
1384,1689,1348,1709,2073,1593,1292
1689,1348,1709,2073,1593,1292,1860
1348,1709,2073,1593,1292,1860,1403
1709,2073,1593,1292,1860,1403,2278
2073,1593,1292,1860,1403,2278,1481
1593,1292,1860,1403,2278,1481,1448
1292,1860,1403,2278,1481,1448,1601
1860,1403,2278,1481,1448,1601,1395
1403,2278,1481,1448,1601,1395,1360
2278,1481,1448,1601,1395,1360,1983
1481,1448,1601,1395,1360,1983,1210
1448,1601,1395,1360,1983,1210,2507
1601,1395,1360,1983,1210,2507,1425
1395,1360,1983,1210,2507,1425,1475
1360,1983,1210,2507,1425,1475,1135
1983,1210,2507,1425,1475,1135,1375
1210,2507,1425,1475,1135,1375,2056
2507,1425,1475,1135,1375,2056,1658
1425,1475,1135,1375,2056,1658,1899
1475,1135,1375,2056,1658,1899,1265
1135,1375,2056,1658,1899,1265,1505
1375,2056,1658,1899,1265,1505,2095
2056,1658,1899,1265,1505,2095,1495
1658,1899,1265,1505,2095,1495,1693
1899,1265,1505,2095,1495,1693,1550
1265,1505,2095,1495,1693,1550,1660
1505,2095,1495,1693,1550,1660,2114
2095,1495,1693,1550,1660,2114,1875
1495,1693,1550,1660,2114,1875,1239
1693,1550,1660,2114,1875,1239,1163
1550,1660,2114,1875,1239,1163,1274
1660,2114,1875,1239,1163,1274,1741
2114,1875,1239,1163,1274,1741,1212
1875,1239,1163,1274,1741,1212,2014
1239,1163,1274,1741,1212,2014,1755
1163,1274,1741,1212,2014,1755,2149
1274,1741,1212,2014,1755,2149,1714
1741,1212,2014,1755,2149,1714,1481
1212,2014,1755,2149,1714,1481,1988
2014,1755,2149,1714,1481,1988,1972
1755,2149,1714,1481,1988,1972,1828
2149,1714,1481,1988,1972,1828,1599
1714,1481,1988,1972,1828,1599,1702
1481,1988,1972,1828,1599,1702,1259
1988,1972,1828,1599,1702,1259,1687
