 t-5,t-4,t-3,t-2,t-1,t,T+1
2541,2441,2027,2169,1899,2278,2272
2441,2027,2169,1899,2278,2272,2425
2027,2169,1899,2278,2272,2425,1879
2169,1899,2278,2272,2425,1879,2900
1899,2278,2272,2425,1879,2900,2577
2278,2272,2425,1879,2900,2577,2629
2272,2425,1879,2900,2577,2629,1952
2425,1879,2900,2577,2629,1952,2571
1879,2900,2577,2629,1952,2571,2809
2900,2577,2629,1952,2571,2809,2576
2577,2629,1952,2571,2809,2576,2467
2629,1952,2571,2809,2576,2467,2190
1952,2571,2809,2576,2467,2190,1855
