t-6,t-5,t-4,t-3,t-2,t-1,t,T+1
2099,1507,1320,1301,1729,1898,1736,2060
1507,1320,1301,1729,1898,1736,2060,1713
1320,1301,1729,1898,1736,2060,1713,1768
1301,1729,1898,1736,2060,1713,1768,1895
1729,1898,1736,2060,1713,1768,1895,1688
1898,1736,2060,1713,1768,1895,1688,1596
1736,2060,1713,1768,1895,1688,1596,1525
2060,1713,1768,1895,1688,1596,1525,1112
1713,1768,1895,1688,1596,1525,1112,1359
1768,1895,1688,1596,1525,1112,1359,1806
1895,1688,1596,1525,1112,1359,1806,2041
1688,1596,1525,1112,1359,1806,2041,1397
1596,1525,1112,1359,1806,2041,1397,2126
1525,1112,1359,1806,2041,1397,2126,1372
1112,1359,1806,2041,1397,2126,1372,2357
1359,1806,2041,1397,2126,1372,2357,1832
1806,2041,1397,2126,1372,2357,1832,2329
2041,1397,2126,1372,2357,1832,2329,1835
1397,2126,1372,2357,1832,2329,1835,1218
2126,1372,2357,1832,2329,1835,1218,1179
1372,2357,1832,2329,1835,1218,1179,1798
2357,1832,2329,1835,1218,1179,1798,2405
1832,2329,1835,1218,1179,1798,2405,2225
2329,1835,1218,1179,1798,2405,2225,1800
1835,1218,1179,1798,2405,2225,1800,1210
1218,1179,1798,2405,2225,1800,1210,2142
1179,1798,2405,2225,1800,1210,2142,2156
1798,2405,2225,1800,1210,2142,2156,1657
2405,2225,1800,1210,2142,2156,1657,2433
2225,1800,1210,2142,2156,1657,2433,2082
1800,1210,2142,2156,1657,2433,2082,1629
1210,2142,2156,1657,2433,2082,1629,2021
2142,2156,1657,2433,2082,1629,2021,1427
2156,1657,2433,2082,1629,2021,1427,1384
1657,2433,2082,1629,2021,1427,1384,1689
2433,2082,1629,2021,1427,1384,1689,1348
2082,1629,2021,1427,1384,1689,1348,1709
1629,2021,1427,1384,1689,1348,1709,2073
2021,1427,1384,1689,1348,1709,2073,1593
1427,1384,1689,1348,1709,2073,1593,1292
1384,1689,1348,1709,2073,1593,1292,1860
1689,1348,1709,2073,1593,1292,1860,1403
1348,1709,2073,1593,1292,1860,1403,2278
1709,2073,1593,1292,1860,1403,2278,1481
2073,1593,1292,1860,1403,2278,1481,1448
1593,1292,1860,1403,2278,1481,1448,1601
1292,1860,1403,2278,1481,1448,1601,1395
1860,1403,2278,1481,1448,1601,1395,1360
1403,2278,1481,1448,1601,1395,1360,1983
2278,1481,1448,1601,1395,1360,1983,1210
1481,1448,1601,1395,1360,1983,1210,2507
1448,1601,1395,1360,1983,1210,2507,1425
1601,1395,1360,1983,1210,2507,1425,1475
1395,1360,1983,1210,2507,1425,1475,1135
1360,1983,1210,2507,1425,1475,1135,1375
1983,1210,2507,1425,1475,1135,1375,2056
1210,2507,1425,1475,1135,1375,2056,1658
2507,1425,1475,1135,1375,2056,1658,1899
1425,1475,1135,1375,2056,1658,1899,1265
1475,1135,1375,2056,1658,1899,1265,1505
1135,1375,2056,1658,1899,1265,1505,2095
1375,2056,1658,1899,1265,1505,2095,1495
2056,1658,1899,1265,1505,2095,1495,1693
1658,1899,1265,1505,2095,1495,1693,1550
1899,1265,1505,2095,1495,1693,1550,1660
1265,1505,2095,1495,1693,1550,1660,2114
1505,2095,1495,1693,1550,1660,2114,1875
2095,1495,1693,1550,1660,2114,1875,1239
1495,1693,1550,1660,2114,1875,1239,1163
1693,1550,1660,2114,1875,1239,1163,1274
1550,1660,2114,1875,1239,1163,1274,1741
1660,2114,1875,1239,1163,1274,1741,1212
2114,1875,1239,1163,1274,1741,1212,2014
1875,1239,1163,1274,1741,1212,2014,1755
1239,1163,1274,1741,1212,2014,1755,2149
1163,1274,1741,1212,2014,1755,2149,1714
1274,1741,1212,2014,1755,2149,1714,1481
1741,1212,2014,1755,2149,1714,1481,1988
1212,2014,1755,2149,1714,1481,1988,1972
2014,1755,2149,1714,1481,1988,1972,1828
1755,2149,1714,1481,1988,1972,1828,1599
2149,1714,1481,1988,1972,1828,1599,1702
1714,1481,1988,1972,1828,1599,1702,1259
1481,1988,1972,1828,1599,1702,1259,1687
